bestand,hardcoded_kleuren,hardcoded_spacing,hardcoded_radius,hardcoded_shadows,hardcoded_font_sizes,voorbeelden
src/app.css,2,39,0,1,0,"rgba(255 255 255 0.1) | rgba(0 0 0 0.5) | 100dvh | 0.02em | 1px | 0.01em"
src/lib/components/budget/BudgetEntriesList.svelte,0,7,0,0,2,"2px | 1px | 1.4rem | 0.9rem | 768px | 1.4rem"
src/lib/components/budget/BudgetFilters.svelte,0,2,0,0,0,"1px"
src/lib/components/budget/BudgetHeroCard.svelte,0,2,0,0,0,"0.03em | 1px"
src/lib/components/budget/BudgetSettlementCard.svelte,0,1,0,0,0,"1px"
src/lib/components/Budget.svelte,0,3,0,0,0,"1px | 1100px"
src/lib/components/BudgetChart.svelte,0,1,0,0,0,"1px"
src/lib/components/BudgetForm.svelte,0,9,0,0,0,"1px | 76dvh | 0.01em | 0.03em | 1.5px | 1100px"
src/lib/components/GedeeldeLijst.svelte,0,5,0,0,0,"1.55rem | 4.2vw | 0.02em | 1px | 1100px"
src/lib/components/GerechtTipWidget.svelte,1,1,0,0,0,"rgba(14  165  164  0.18) | 1px"
src/lib/components/Header.svelte,0,13,0,0,3,"2px | 1.75rem | 4.8vw | 2.35rem | 768px | 1.95rem"
src/lib/components/Navigation.svelte,0,15,0,0,0,"2px | 14px | 1px | 3px | 1100px | 100vw"
src/lib/components/Noodinfo.svelte,0,8,0,0,3,"1.4rem | 0.01em | 14px | 2px | 1px | 0.9rem"
src/lib/components/overnachtingen/OvernachtingenCalendarBoard.svelte,0,16,0,0,0,"1px | 2px | 768px | 76px"
src/lib/components/overnachtingen/OvernachtingenEmptyState.svelte,0,1,0,0,0,"640px"
src/lib/components/overnachtingen/OvernachtingenFormPanel.svelte,0,5,0,0,0,"5px | 0.03em | 1px | 52px | 840px"
src/lib/components/overnachtingen/OvernachtingenHeader.svelte,0,1,0,0,0,"640px"
src/lib/components/overnachtingen/OvernachtingenListsSection.svelte,0,7,0,0,0,"1px | 768px"
src/lib/components/overnachtingen/OvernachtingenTabs.svelte,0,3,0,0,0,"1px | 768px"
src/lib/components/OvernachtingenPlanner.svelte,0,1,0,0,0,"640px"
src/lib/components/poi/PoiCard.svelte,0,11,0,0,0,"5px | 1px | 28px | 34px | 0.03em | 14px"
src/lib/components/poi/PoiFormModal.svelte,0,9,0,0,0,"1px | 82dvh | 768px | 100vw | 88dvh"
src/lib/components/Snackbar.svelte,0,1,0,0,0,"2px"
src/lib/components/SpotVanDeDag.svelte,0,4,0,0,0,"1px | 2px | 768px | 1100px"
src/lib/components/weer/WeerAlerts.svelte,0,3,0,0,0,"1px | 0.08em | 0.01em"
src/lib/components/weer/WeerDagen.svelte,0,8,0,0,0,"3px | 14px | 1px | 7px"
src/lib/components/WeerWidget.svelte,0,6,0,0,0,"2px | 0.02em | 1px | 1100px"
src/lib/components/wildlife/WildlifeCard.svelte,0,15,0,0,0,"1px | 2px | 260px | 768px | 320px | 1100px"
src/lib/components/wildlife/WildlifeInfoPanel.svelte,0,5,0,0,0,"1px | 0.03em | 900px | 1100px"
src/lib/components/wildlife/WildlifeStats.svelte,1,10,0,0,2,"rgba(0 0 0 0.08) | 2px | 2.1rem | 5vw | 2.75rem | 0.5px"
src/lib/components/WildlifeChecklist.svelte,0,12,0,0,0,"2px | 1px | 18px | 768px | 14px | 1100px"
src/lib/features/gerechten/components/GerechtCard.svelte,5,28,0,0,2,"rgba(0  0  0  0.06) | rgba(0  0  0  0.2) | rgba(15  23  42  0.7) | rgba(2  6  23  0.95) | rgba(255  255  255  0.14) | 2px"
src/lib/features/gerechten/components/GerechtenHeader.svelte,0,12,0,0,0,"92px | 18px | 5px | 1px | 2px | 1100px"
src/lib/features/gerechten/components/GerechtenList.svelte,0,4,0,0,0,"2px | 1100px"
src/lib/features/gerechten/components/GerechtenStats.svelte,0,10,0,0,1,"2px | 1px | 60px | 1100px | 1.55rem | 2.2vw"
src/lib/features/gerechten/components/GerechtenTipCard.svelte,6,7,0,0,0,"rgba(255  255  255  0.7) | rgba(255  255  255  0.66) | rgba(15  23  42  0.5) | 1px | 0.4px | 2px"
src/lib/features/gerechten/GerechtenFeature.svelte,0,1,0,0,0,"1100px"
src/lib/poiCategories.ts,6,0,0,0,0,"#335CFF | #15803d | #c2410c | #b45309 | #7c3aed | #475569"
src/lib/styles/ui-norm-profile.css,0,44,0,0,0,"0.75rem | 0.82rem | 0.92rem | 1rem | 1.12rem | 1.42rem"
src/lib/styles/ui-tokens.css,72,79,0,0,0,"#EEF4FF | #DAE6FF | #B3CDFF | #85AEFF | #5A8AF5 | #3B6CE4"
src/lib/tests/ui-norm-audit.test.ts,0,1,0,0,0,"2px"
src/routes/+layout.svelte,0,10,0,0,1,"100dvh | 3.2rem | 11vw | 5.2rem | 0.03em | 136px"
src/routes/+page.svelte,0,7,0,0,0,"1px | 110px | 0.01em | 760px | 96px | 1100px"
src/routes/meer/+page.svelte,0,9,0,0,1,"0.04em | 1px | 14px | 58px | 1.4rem | 400px"
src/routes/meer/[id]/+page.svelte,0,2,0,0,0,"14px | 1px"
src/routes/poi/+page.svelte,7,23,0,0,2,"rgba(148  163  184  0.16) | rgba(148  163  184  0.32) | rgba(30  58  95  0.82) | rgba(13  24  40  0.96) | rgba(30  64  175  0.28) | rgba(96  165  250  0.32)"